Protein name,RNA name
CD203c,CD203c/ENPP3
CD209,CD209
CD110,CD110/MPL
CD337,CD337/NCR3
CD253,CD253/TNFSF10
CD186,CD186/CXCR6
CD226,CD226
CD205,CD205/LY75
CD109,CD109
CD11a,CD11a/ITGAL
CD126,CD126/IL6R
CD164,CD164
CD142,CD142/F3
CD307c,CD307c/FCRL3
CD307c/FcRL3,CD307c/FcRL3
CD307d,CD307d/FCRL4
CD307e,CD307e/FCRL5
CD319,CD319/SLAMF7
CD99,CD99
CLEC12A,CLEC12A
CD16,CD16/FCGR3A
FCGR3A,FCGR3A
CD161,CD161/KLRB1
CCR10,CCR10
CD271,CD271/NGFR
GP130,GP130/IL6ST
CD199,CCR9/CD199
CD46,CD46
VEGFR-3,FLT4/VEGFR-3
CLEC2,CLEC1B/CLEC2
CD197,CCR7/CD197
CD197-CCR7,CCR7/CD197-CCR7
CD158E1,CD158E1/KIR3DL1
CD33,CD33
FOXP3,FOXP3
FceRI,FCER1A/FceRI
TIM3,HAVCR2/TIM3
PDL1,CD274/PDL1
PD-L1,CD274/PD-L1
Tbet,TBX21/Tbet
CTLA4,CTLA4
CCR7,CCR7
Ki67,Ki67/MKI67
PD1,PD1/PDCD1
PD-1,PD-1/PDCD1
Flt3,FLT3
CXCR4,CXCR4
CD321,CD321/F11R
CD7,CD7
CD49f,CD49f/ITGA6
CD5,CD5
CD104,CD104/ITGB4
MUC2,MUC2
SOX9,SOX9
MUC1,MUC1
Synapto,SYP/Synapto
ITLN1,ITLN1
BCL2,BCL2
a-SMA,ACTA2/a-SMA
aSMA,ACTA2/aSMA
ACTA2,ACTA2
NKG2D,NKG2D
aDef5,DEFA5/aDef5
Cytokeratin,Cytokeratin/KRT1/KRT8/KRT18
CK7,CK7/KRT7
CHGA,CHGA
CDX2,CDX2
collagen IV,COL4A1/collagen IV
FAP,FAP/FAPalpha
FAPalpha,FAP/FAPalpha
E-cadherin,CDH1/E-cadherin
Ecadherin,CDH1/Ecadherin
CD10,CD10/MME
CD183,CD183/CXCR3
CD235a-b,CD235a-b/GYPA
CD32,CD32/FCGR2A
CD326,CD326/EPCAM
EPCAM,EPCAM
CD336,CD336/NCR2
CD371,CD371/CLEC12A
CD49E,CD49E/ITGA5
CD62L,CD62L/SELL
CD94,CD94/KLRD1
CRACC,CRACC/SLAMF7
HLA.ABC,HLA-A/HLA-B/HLA-C/HLA.ABC
IgD,IGHD/IgD
IgG,IGHG/IgG
IL.21R,IL.21R/IL21R
TCRab,TCRab/TRA/TRB
TCRgd,TCRgd/TRD/TRG
CD132,CD132/IL2RG
